date,600079.ss,600080.ss,600081.ss,600083.ss,600084.ss,600085.ss,600086.ss,600089.ss,600090.ss,600091.ss,600093.ss,600095.ss,600096.ss,600099.ss,600100.ss,600103.ss,600104.ss,600105.ss,600107.ss,600110.ss,600111.ss,600112.ss,600114.ss,600117.ss,600118.ss,600126.ss,600127.ss,600129.ss,600130.ss,600132.ss,600135.ss,600137.ss,600141.ss,600143.ss,600145.ss,600146.ss,600148.ss,600150.ss,600151.ss,600152.ss
2015-5-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-4-30,-0.025160462,0.038977636,-0.02254509,0,-0.007853403,-0.029234479,0,0.011500863,0.099942562,0,0.012702079,0.03152789,-0.025641026,0,-0.016851228,-0.005961252,-0.011351153,0.003113325,-0.034602076,-0.043149946,-0.027978107,-0.012870013,0.039258451,0,0.014575413,0.00094518,-0.004920049,0.100107066,-0.011982571,-0.004828974,0.012542759,0.031082118,-0.034040179,0.003118503,0,-0.006904955,-0.024154589,0.003695882,-0.024131842,-0.024959742
2015-4-29,0.040887226,0.05958023,0.011144883,0,0.017310253,-0.004201681,0,0.013403263,0.099810486,-0.005112474,0.009912536,-0.00562701,0.011385199,0,0.100105932,0.022865854,0.00961183,0.064280981,-0.053700065,0.018681319,0.044953025,0.005174644,0.013259669,0,0.099907035,0.026188167,0.018796992,0.100117786,0.007683864,0.023476112,0.047789725,0.037420382,0.021664766,0.015839493,0,-0.002835156,0.025142857,-0.024549356,0.091201028,0.012224939
2015-4-28,-0.011882757,0.038677918,-0.057756563,0,-0.040868455,0.017715333,0,-0.056105611,0.100069493,0.050483351,-0.056136489,0.035803497,-0.048736462,0,-0.055055055,0.013910355,-0.014571949,0.094271211,0.100144092,-0.007633588,-0.051579034,-0.02316765,-0.041821069,0,0.03785889,-0.053259871,-0.037394451,0,-0.087174349,-0.036890123,-0.060078608,-0.063036181,-0.030939227,-0.050150451,0,0.021514274,-0.05643422,-0.023470243,-0.050030506,-0.054699538
2015-4-27,0.050485437,0.027456647,0.057013118,0,0.020860495,0.018668326,0,0.00441989,0.100152905,-0.040206186,0.055168409,-0.024370431,0.004836759,0,0.000500751,0.05203252,0.010305484,0.032185629,0,-0.00326087,-0.01468716,0.100092678,-0.009438909,0,0.099999947,0.015858209,0.006067961,0,0.011144883,0,0.029479769,-0.023315118,0.003882418,0.022564103,0,0.010874111,-0.0085531,0.091890902,0.050641026,0.007763975
2015-4-24,0.048269846,-0.008595989,-0.016865079,0,-0.031565657,-0.027828191,0,-0.032085561,0.100084104,0.003102378,0.002328289,-0.018341308,-0.001810501,0,0.099669604,-0.009661836,-0.02998929,-0.01037037,0,-0.004329004,0.031199518,-0.022644928,-0.022552537,0,0.008021157,-0.042001787,-0.024852071,0,-0.029498525,-0.009040881,0.029761905,0.038199697,-0.022234273,-0.041297935,0,-0.032375556,-0.033080634,0.001282991,0.012329656,0.067108534
2015-4-23,0.001456028,0.034074074,-0.006407097,0,0.025906736,-0.014017298,0,0.015752309,0.099907493,0.008342023,-0.014343087,0.045,0.054742202,0,-0.004931507,-0.018957346,-0.008846426,-0.020319303,0,0.041713641,0.099966614,0.006381039,0.011404873,0,-0.017082728,0.024725275,0.030487805,0,0.012948207,-0.011655012,0.009615385,0.005323194,0.019347706,-0.00877193,0,-0.019833399,-0.005483208,-0.01799856,-0.005806452,0.05877193
2015-4-22,0.023852117,0.023502654,0.02578362,0,0.033467202,0.018839259,0,0.007662835,0.099694812,0.03900325,0.013961606,0.025641026,0.034233048,0,0.022408964,0.056761269,0.00212766,0.004373178,0,0.035005834,0.007046843,0.028598218,0.005211047,0,0.002371112,0.021515435,0.013597033,0,0.099671413,0.052330335,0.028430161,0.026942601,0.043854587,0.002932551,0,0.005183413,-0.003074821,0.022639426,0.011749347,0.085714286
2015-4-21,0.030414747,0.029664325,0.031820553,0,0.056577086,0.028758987,0,-0.014563107,0.099552573,0.050056883,0.052019584,0.058823529,0.020833333,0,0.04020979,0.027444254,0.034482759,0.022354694,0,0.042579075,0.016371128,0.045588235,-0.006214397,0,0.022078614,0.044965787,0.022756005,0,0.054272517,0.04440649,0.029262087,0.013855899,0.037724551,0.013875124,0,0.035507845,0.09996242,-0.037555359,0.066109951,0.032448378
2015-4-20,-0.025449102,-0.041167665,-0.04006009,0,-0.032831737,-0.036445783,0,0.072296125,0.099630996,0.047675805,-0.049447353,-0.048234281,0.002020202,0,-0.060240964,-0.045826514,-0.011244106,-0.008130081,0,-0.059496568,0.018412619,-0.024390244,-0.0508062,0,0.037140319,-0.0674567,0.038057743,0,-0.05664488,-0.01761745,-0.046983935,-0.06305638,-0.032444959,0.030643514,0,-0.002060157,0.039453125,0.041128735,0.01987225,-0.057460612
