Agriculture,The mining industry,Manufacturing industry,Power,The construction industry,The wholesale and retail industry,Traffic and transportation industry,Accommodation and catering industry,The transmission of information industry,Finance,Estate,Leasing and business services,The scientific research and technical services,Water conservancy,Education,Health and social work,Culture and sports,Comprehensive
600097,600028,600005,600008,600039,600051,600004,600754,600037,600000,600007,600057,600645,600054,600661,600763,600088,600082
600108,600121,600006,600011,600068,600058,600009,601007,600050,600015,600048,600138,601226,600292,,,600373,600149
600257,600123,600010,600021,600133,600113,600012,,600289,600016,600052,600258,603017,600593,,,600551,600200
600265,600139,600019,600023,600170,600120,600017,,600406,600030,600053,600358,603018,600706,,,600633,600212
600354,600157,600022,600027,600209,600122,600018,,600410,600036,600064,600415,603126,600749,,,600757,600260
600359,600188,600031,600098,600248,600128,600020,,600446,600109,600067,600640,603698,600832,,,600825,600455
600791,600193,600038,600101,600284,600136,600026,,600476,600369,600077,600790,,603099,,,600880,600603
600467,600256,600055,600116,600326,600153,600029,,600536,600643,600094,601888,,603199,,,601098,600620
600506,600259,600056,600131,600463,600175,600033,,600570,600705,600158,603729,,603588,,,601801,600624
600540,600311,600059,600167,600477,600180,600035,,600571,600816,600159,,,603869,,,601928,600701
600598,600348,600060,600168,600491,600203,600106,,600588,600837,600162,,,,,,601999,600777
600965,600395,600061,600187,600496,600211,600115,,600637,600958,600173,,,,,,,600783
600975,600397,600062,600207,600502,600241,600119,,600718,600999,600185,,,,,,,600784
601118,600403,600063,600236,600512,600247,600125,,600728,601009,600208,,,,,,,600805
,600489,600066,600283,600528,600250,600190,,600756,601099,600215,,,,,,,600817
,600497,600069,600310,600545,600272,600221,,600764,601166,600223,,,,,,,600895
,600508,600070,600323,600681,600278,600242,,600770,601169,600225,,,,,,,
,600532,600071,600396,600820,600280,600269,,600797,601198,600238,,,,,,,
,600547,600072,600452,600846,600287,600270,,600804,601288,600239,,,,,,,
,600583,600073,600461,600853,600306,600279,,600831,601318,600240,,,,,,,
,600652,600074,600483,600986,600313,600317,,600845,601328,600246,,,,,,,
,600711,600075,600505,601117,600327,600350,,600850,601336,600266,,,,,,,
,600714,600076,600509,601186,600335,600368,,601519,601377,600275,,,,,,,
,600766,600078,600578,601390,600361,600377,,601929,601398,600322,,,,,,,
,600882,600079,600617,601618,600382,600428,,603000,601555,600325,,,,,,,
,600971,600080,600635,601668,600386,600548,,603636,601601,600340,,,,,,,
,600988,600081,600642,601669,600387,600561,,,601628,600376,,,,,,,
,601001,600083,600644,601789,600511,600575,,,601688,600383,,,,,,,
,601069,600084,600674,601800,600515,600611,,,601788,600393,,,,,,,
,601088,600085,600719,601886,600546,600650,,,601818,600503,,,,,,,
,601101,600086,600726,603030,600576,600662,,,601901,600510,,,,,,,
,601168,600089,600744,603828,600605,600676,,,601939,600533,,,,,,,
,601225,600090,600758,,600626,600692,,,601988,600555,,,,,,,
,601666,600091,600780,,600628,600708,,,601998,600565,,,,,,,
,601699,600093,600795,,600648,600717,,,,600604,,,,,,,
,601808,600095,600863,,600653,600751,,,,600606,,,,,,,
,601857,600096,600864,,600655,600787,,,,600621,,,,,,,
,601898,600099,600868,,600656,600794,,,,600622,,,,,,,
,601899,600100,600874,,600677,600798,,,,600638,,,,,,,
,601918,600103,600886,,600682,600834,,,,600639,,,,,,,
,601958,600104,600900,,600693,600896,,,,600641,,,,,,,
,603993,600105,600917,,600694,600897,,,,600647,,,,,,,
,,600107,600969,,600697,601000,,,,600649,,,,,,,
,,600110,600979,,600704,601006,,,,600657,,,,,,,
,,600111,600982,,600712,601008,,,,600658,,,,,,,
,,600112,600995,,600713,601018,,,,600663,,,,,,,
,,600114,601016,,600723,601021,,,,600665,,,,,,,
,,600117,601139,,600729,601107,,,,600675,,,,,,,
,,600118,601158,,600734,601111,,,,600683,,,,,,,
,,600126,601199,,600738,601188,,,,600684,,,,,,,
,,600127,601991,,600739,601333,,,,600696,,,,,,,
,,600129,,,600753,601518,,,,600716,,,,,,,
,,600130,,,600755,601866,,,,600724,,,,,,,
,,600132,,,600759,601872,,,,600730,,,,,,,
,,600135,,,600774,601880,,,,600732,,,,,,,
,,600137,,,600778,601919,,,,600733,,,,,,,
,,600141,,,600785,603128,,,,600736,,,,,,,
,,600143,,,600811,603167,,,,600743,,,,,,,
,,600145,,,600814,,,,,600745,,,,,,,
,,600146,,,600821,,,,,600747,,,,,,,
,,600148,,,600822,,,,,600748,,,,,,,
,,600150,,,600824,,,,,600767,,,,,,,
,,600151,,,600826,,,,,600773,,,,,,,
,,600152,,,600827,,,,,600791,,,,,,,
,,600155,,,600828,,,,,600807,,,,,,,
,,600156,,,600830,,,,,600823,,,,,,,
,,600160,,,600833,,,,,600862,,,,,,,
,,600161,,,600838,,,,,600890,,,,,,,
,,600163,,,600856,,,,,601588,,,,,,,
,,600165,,,600857,,,,,,,,,,,,
,,600166,,,600858,,,,,,,,,,,,
,,600169,,,600859,,,,,,,,,,,,
,,600171,,,600861,,,,,,,,,,,,
,,600172,,,600865,,,,,,,,,,,,
,,600176,,,600891,,,,,,,,,,,,
,,600177,,,600892,,,,,,,,,,,,
,,600178,,,600898,,,,,,,,,,,,
,,600179,,,600976,,,,,,,,,,,,
,,600182,,,600981,,,,,,,,,,,,
,,600183,,,600993,,,,,,,,,,,,
,,600184,,,600998,,,,,,,,,,,,
,,600186,,,601010,,,,,,,,,,,,
,,600189,,,601116,,,,,,,,,,,,
,,600191,,,601258,,,,,,,,,,,,
,,600192,,,601607,,,,,,,,,,,,
,,600195,,,601933,,,,,,,,,,,,
,,600196,,,603003,,,,,,,,,,,,
,,600197,,,603123,,,,,,,,,,,,
,,600198,,,603368,,,,,,,,,,,,
,,600199,,,603939,,,,,,,,,,,,
,,600201,,,,,,,,,,,,,,,
,,600202,,,,,,,,,,,,,,,
,,600206,,,,,,,,,,,,,,,
,,600210,,,,,,,,,,,,,,,
,,600213,,,,,,,,,,,,,,,
,,600216,,,,,,,,,,,,,,,
,,600217,,,,,,,,,,,,,,,
,,600218,,,,,,,,,,,,,,,
,,600219,,,,,,,,,,,,,,,
,,600220,,,,,,,,,,,,,,,
,,600222,,,,,,,,,,,,,,,
,,600226,,,,,,,,,,,,,,,
,,600227,,,,,,,,,,,,,,,
,,600228,,,,,,,,,,,,,,,
,,600229,,,,,,,,,,,,,,,
,,600230,,,,,,,,,,,,,,,
,,600231,,,,,,,,,,,,,,,
,,600232,,,,,,,,,,,,,,,
,,600233,,,,,,,,,,,,,,,
,,600234,,,,,,,,,,,,,,,
,,600235,,,,,,,,,,,,,,,
,,600237,,,,,,,,,,,,,,,
,,600243,,,,,,,,,,,,,,,
,,600249,,,,,,,,,,,,,,,
,,600251,,,,,,,,,,,,,,,
,,600252,,,,,,,,,,,,,,,
,,600255,,,,,,,,,,,,,,,
,,600261,,,,,,,,,,,,,,,
,,600262,,,,,,,,,,,,,,,
,,600267,,,,,,,,,,,,,,,
,,600268,,,,,,,,,,,,,,,
,,600271,,,,,,,,,,,,,,,
,,600273,,,,,,,,,,,,,,,
,,600276,,,,,,,,,,,,,,,
,,600277,,,,,,,,,,,,,,,
,,600281,,,,,,,,,,,,,,,
,,600282,,,,,,,,,,,,,,,
,,600285,,,,,,,,,,,,,,,
,,600288,,,,,,,,,,,,,,,
,,600290,,,,,,,,,,,,,,,
,,600291,,,,,,,,,,,,,,,
,,600293,,,,,,,,,,,,,,,
,,600295,,,,,,,,,,,,,,,
,,600297,,,,,,,,,,,,,,,
,,600298,,,,,,,,,,,,,,,
,,600299,,,,,,,,,,,,,,,
,,600300,,,,,,,,,,,,,,,
,,600301,,,,,,,,,,,,,,,
,,600302,,,,,,,,,,,,,,,
,,600303,,,,,,,,,,,,,,,
,,600305,,,,,,,,,,,,,,,
,,600307,,,,,,,,,,,,,,,
,,600308,,,,,,,,,,,,,,,
,,600309,,,,,,,,,,,,,,,
,,600312,,,,,,,,,,,,,,,
